Type,Status,Date,Payee,Category/Account,Amount,Note,Memo,Number,Security,Shares,Price/Share,Commission
Withdrawal,Uncleared,06/01/2022,WHT,Taxes,-Rs 685,,,,,"","",""
Withdrawal,Uncleared,06/01/2022,Earnings Received,Unity Ads (TopTrending),"US$68,531.00",unity ads top trending,,,,"","",""
Withdrawal,Uncleared,06/01/2022,WHT,Taxes,-Rs 455,,,,,"","",""
Withdrawal,Uncleared,06/01/2022,Earnings Received,Facebook (TopTrending),"US$45,505.00",facebook earnings received,,,,"","",""
Withdrawal,Uncleared,28/12/2021,WHT,Taxes,-Rs 347,,,,,"","",""
Withdrawal,Uncleared,28/12/2021,Earnings Received,Facebook (TopTrending),"US$34,752.00",facebook,,,,"","",""
Withdrawal,Uncleared,21/12/2021,WHT,Taxes,-Rs 36,,,,,"","",""
Withdrawal,Uncleared,21/12/2021,Earnings Received,Playstore (GamesRumble),"US$3,678.00",playstore games rumble,,,,"","",""
Withdrawal,Uncleared,03/12/2021,WHT,Taxes,-Rs 861,,,,,"","",""
Withdrawal,Uncleared,03/12/2021,Earnings Received,Unity Ads (TopTrending),"US$86,164.00",unity ads top trending,,,,"","",""
Withdrawal,Uncleared,02/12/2021,WHT,Taxes,-Rs 439,,,,,"","",""
Withdrawal,Uncleared,02/12/2021,Earnings Received,UnityAds (MR),"US$43,985.00",unity ads mr,,,,"","",""
Withdrawal,Uncleared,26/11/2021,WHT,Taxes,-Rs 193,,,,,"","",""
Withdrawal,Uncleared,26/11/2021,Earnings Received,Facebook (TopTrending),"US$19,315.00",Facebook earnings received,,,,"","",""
Withdrawal,Uncleared,18/11/2021,WHT,Taxes,-Rs 80,,,,,"","",""
Withdrawal,Uncleared,18/11/2021,Earnings Received,Playstore (GamesRumble),"US$8,086.00",playstore gamesrumble earnings received,,,,"","",""
Withdrawal,Uncleared,03/11/2021,WHT,Taxes,-Rs 632,,,,,"","",""
Withdrawal,Uncleared,03/11/2021,Earnings Received,Unity Ads (TopTrending),"US$63,258.00",Unity Ads Top Trending Earnings Received,,,,"","",""
Withdrawal,Uncleared,03/11/2021,WHT,Taxes,-Rs 33,,,,,"","",""
Withdrawal,Cleared,03/11/2021,Earnings Received,Playstore (GamesRumble),"US$3,310.00",playstore games rumble,,,,"","",""
Withdrawal,Uncleared,03/11/2021,Adjustment,Adjustment,Rs 200,,,,,"","",""
Withdrawal,Uncleared,03/11/2021,WHT,Taxes,-Rs 485,,,,,"","",""
Deposit,Uncleared,03/11/2021,Earnings Received,UnityAds (MR),"US$48,499.00",earnings received mr unity ads,,,,"","",""
Deposit,Uncleared,03/11/2021,Earnings Received,Unity Asset Store (MR),"US$701,729.00",UAS MR Jul 20 - Sep 21 Earnings Received,,,,"","",""
Deposit,Uncleared,03/11/2021,Earnings Received,Unity Asset Store (TPL),"US$459,017.00",UAS TPL Jul 20 - Sep 21 Earnings Received,,,,"","",""
